"state","county","party","pop_2010_real_hr","zageszczenie_2010_hr","liczba_glosow"
Iowa,Franklin,Democrat,10680,18.4,398
South Dakota,Davison,Democrat,19504,44.8,982
New Jersey,Atlantic,Democrat,274549,494.1,17819
Texas,Bee,Democrat,31861,36.2,1452
Wyoming,Crook,Democrat,7083,2.5,2
Illinois,Randolph,Democrat,33476,58.2,2855
North Carolina,Forsyth,Democrat,350670,859.2,41225
Oklahoma,Garfield,Democrat,60580,57.2,3174
Nebraska,Phelps,Democrat,9188,17.0,75
Texas,Blanco,Democrat,10497,14.8,419
Kentucky,Simpson,Democrat,17327,74.0,1403
Iowa,Boone,Democrat,26306,46.0,1300
South Carolina,Newberry,Democrat,37508,59.5,2587
Kentucky,Boyd,Democrat,49542,309.9,4455
Louisiana,Ouachita,Democrat,153720,251.8,10798
Pennsylvania,Butler,Democrat,183862,233.1,16135
Nevada,White Pine,Democrat,10030,1.1,93
Montana,Roosevelt,Democrat,10425,4.4,711
Utah,Sanpete,Democrat,27822,17.5,308
Tennessee,Hancock,Democrat,6819,30.7,146
Georgia,Candler,Democrat,10998,45.3,544
New York,Columbia,Democrat,63096,99.4,5783
New Jersey,Salem,Democrat,66083,199.1,4977
Oklahoma,Murray,Democrat,13488,32.4,1453
Texas,Terry,Democrat,12651,14.2,224
Nebraska,Nuckolls,Democrat,4500,7.8,35
Wisconsin,Winnebago,Democrat,166994,384.3,29011
Tennessee,McNairy,Democrat,26075,46.3,948
Florida,Walton,Democrat,55043,53.0,2876
Nevada,Lincoln,Democrat,5345,0.5,63
Texas,McCulloch,Democrat,8283,7.8,136
Oklahoma,Sequoyah,Democrat,42391,63.0,3231
Kentucky,Oldham,Democrat,60316,322.2,5045
Pennsylvania,Washington,Democrat,207820,242.5,26403
Indiana,Lawrence,Democrat,46134,102.7,2710
Arkansas,Cleburne,Democrat,25970,46.9,1074
Tennessee,Marshall,Democrat,30617,81.5,1222
South Carolina,Florence,Democrat,136885,171.1,11995
Florida,Lafayette,Democrat,8870,16.3,796
Florida,Okaloosa,Democrat,180822,194.4,8341
Alabama,Perry,Democrat,10591,14.7,2964
Oklahoma,Logan,Democrat,41848,56.3,2959
Texas,Swisher,Democrat,7854,8.8,219
Georgia,Dawson,Democrat,22330,105.9,580
